%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 536245614, time taken: 38 microseconds
[Randmoised Selection] - Median: 536245614, time taken: 4 microseconds
[Median of Medians] - Median: 536245614, time taken: 30 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 486442639, time taken: 80 microseconds
[Randmoised Selection] - Median: 486442639, time taken: 8 microseconds
[Median of Medians] - Median: 486442639, time taken: 72 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 524657328, time taken: 170 microseconds
[Randmoised Selection] - Median: 524657328, time taken: 7 microseconds
[Median of Medians] - Median: 524657328, time taken: 58 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 509565307, time taken: 149 microseconds
[Randmoised Selection] - Median: 509565307, time taken: 39 microseconds
[Median of Medians] - Median: 509565307, time taken: 47 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 475352442, time taken: 135 microseconds
[Randmoised Selection] - Median: 475352442, time taken: 8 microseconds
[Median of Medians] - Median: 475352442, time taken: 44 microseconds
--------------------------------------[Arrays of size 1000]--------------------------------------
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 488833003, time taken: 191 microseconds
[Randmoised Selection] - Median: 488833003, time taken: 15 microseconds
[Median of Medians] - Median: 488833003, time taken: 63 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 474858533, time taken: 291 microseconds
[Randmoised Selection] - Median: 474858533, time taken: 5 microseconds
[Median of Medians] - Median: 474858533, time taken: 75 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 508291705, time taken: 308 microseconds
[Randmoised Selection] - Median: 508291705, time taken: 5 microseconds
[Median of Medians] - Median: 508291705, time taken: 69 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 526253241, time taken: 216 microseconds
[Randmoised Selection] - Median: 526253241, time taken: 8 microseconds
[Median of Medians] - Median: 526253241, time taken: 63 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 494824775, time taken: 198 microseconds
[Randmoised Selection] - Median: 494824775, time taken: 7 microseconds
[Median of Medians] - Median: 494824775, time taken: 112 microseconds
